File,Category,Normalization,Step,Mean_LE,Std_LE,Mean_HE,Std_HE
铁阶梯-校准后-0.6mm-300kV-2mA-orig.tif,Step,Normalized (8bit 80%),S1-S10 (Thin->Thick),"[55.4, 27.3, 16.5, 10.8, 7.4, 5.2, 3.7, 2.8, 2.0, 1.7]",-,"[121.2, 81.5, 57.4, 41.4, 30.4, 22.6, 16.9, 12.9, 9.8, 7.9]",-
铁阶梯-校准后-0.6mm-320kV-2mA-orig.tif,Step,Normalized (8bit 80%),S1-S10 (Thin->Thick),"[61.2, 30.7, 18.8, 12.5, 8.7, 6.2, 4.4, 3.3, 2.3, 2.1]",-,"[122.8, 83.5, 59.3, 43.1, 31.9, 23.9, 18.1, 13.8, 10.6, 8.6]",-
铁阶梯-校准后-1.2mm-200kV-2mA-orig.tif,Step,Normalized (8bit 80%),S1-S10 (Thin->Thick),"[46.3, 20.3, 11.0, 6.5, 4.1, 2.6, 1.7, 1.1, 0.8, 0.7]",-,"[118.6, 74.9, 49.4, 33.3, 22.9, 15.9, 11.2, 8.0, 5.7, 4.5]",-
铁阶梯-校准后-1.2mm-220kV-2mA-orig.tif,Step,Normalized (8bit 80%),S1-S10 (Thin->Thick),"[48.8, 22.2, 12.4, 7.6, 4.9, 3.2, 2.1, 1.4, 1.0, 1.0]",-,"[122.7, 79.7, 53.7, 37.0, 26.0, 18.5, 13.3, 9.7, 7.1, 5.5]",-
铁阶梯-校准后-1.2mm-240kV-2mA-orig.tif,Step,Normalized (8bit 80%),S1-S10 (Thin->Thick),"[51.0, 23.8, 13.7, 8.6, 5.6, 3.8, 2.6, 1.9, 1.1, 1.1]",-,"[125.8, 83.2, 57.3, 40.2, 28.7, 20.8, 15.2, 11.2, 8.4, 6.6]",-
铁阶梯-校准后-1.2mm-260kV-2mA-orig.tif,Step,Normalized (8bit 80%),S1-S10 (Thin->Thick),"[53.0, 25.4, 14.9, 9.5, 6.4, 4.4, 3.1, 2.2, 1.5, 1.3]",-,"[128.1, 86.2, 60.2, 42.9, 31.0, 22.8, 16.9, 12.7, 9.5, 7.6]",-
铁阶梯-校准后-1.2mm-280kV-2mA-orig.tif,Step,Normalized (8bit 80%),S1-S10 (Thin->Thick),"[54.9, 26.8, 16.1, 10.4, 7.1, 5.0, 3.5, 2.6, 1.9, 1.6]",-,"[130.4, 89.0, 62.8, 45.4, 33.1, 24.6, 18.4, 13.9, 10.6, 8.4]",-
铁阶梯-校准后-1.2mm-300kV-2mA-orig.tif,Step,Normalized (8bit 80%),S1-S10 (Thin->Thick),"[56.8, 28.3, 17.2, 11.4, 7.9, 5.6, 4.0, 3.0, 2.1, 1.9]",-,"[132.2, 91.4, 65.3, 47.7, 35.2, 26.3, 19.9, 15.2, 11.7, 9.4]",-
铁阶梯-校准后-1.2mm-320kV-2mA-orig.tif,Step,Normalized (8bit 80%),S1-S10 (Thin->Thick),"[59.9, 30.4, 18.8, 12.5, 8.8, 6.3, 4.6, 3.5, 2.5, 2.2]",-,"[133.3, 93.0, 67.0, 49.3, 36.7, 27.7, 21.1, 16.3, 12.4, 10.2]",-
铜阶梯-校准前-0.6mm-200kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[13.8, 5.7, 2.9, 1.3, 0.9, 0.1, 0.0, 0.0, 0.0, 0.0]",-,"[22.1, 12.2, 7.1, 4.1, 2.6, 1.4, 1.0, 0.2, 0.0, 0.0]",-
铜阶梯-校准前-0.6mm-220kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[17.2, 7.5, 4.0, 2.1, 1.1, 0.8, 0.1, 0.0, 0.0, 0.0]",-,"[29.5, 17.0, 10.4, 6.5, 4.0, 2.7, 1.8, 1.0, 0.8, 0.2]",-
铜阶梯-校准前-0.6mm-240kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[20.7, 9.4, 5.1, 3.0, 1.9, 1.0, 0.7, 0.1, 0.0, 0.0]",-,"[37.7, 22.4, 14.1, 9.1, 6.0, 4.0, 2.7, 1.9, 1.0, 1.0]",-
铜阶梯-校准前-0.6mm-260kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[24.4, 11.4, 6.5, 3.9, 2.3, 1.5, 1.0, 0.6, 0.1, 0.1]",-,"[46.3, 28.2, 18.2, 12.0, 8.0, 5.4, 3.8, 2.6, 1.9, 1.3]",-
铜阶梯-校准前-0.6mm-280kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[28.1, 13.6, 7.9, 4.9, 3.1, 2.0, 1.2, 1.0, 0.5, 0.4]",-,"[55.4, 34.4, 22.6, 15.1, 10.3, 7.1, 5.0, 3.6, 2.5, 2.1]",-
铜阶梯-校准前-0.6mm-300kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[31.9, 15.8, 9.3, 5.9, 3.9, 2.5, 1.8, 1.1, 0.9, 0.8]",-,"[64.7, 41.0, 27.3, 18.5, 12.8, 9.0, 6.4, 4.7, 3.2, 2.8]",-
铜阶梯-校准前-0.6mm-320kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[35.6, 18.0, 10.8, 6.9, 4.6, 3.1, 2.1, 1.4, 1.0, 1.0]",-,"[74.5, 47.7, 32.2, 22.1, 15.6, 11.1, 8.0, 5.9, 4.2, 3.5]",-
铜阶梯-校准前-1.2mm-200kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[12.3, 4.9, 2.2, 1.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0]",-,"[17.5, 9.8, 5.8, 3.3, 2.0, 1.0, 0.9, 0.0, 0.0, 0.0]",-
